original_title,release_year,director,production_companies,genres,budget (millions),revenue (millions),profit (millions),roi,popularity,vote_average,vote_count
Home,2015,Tim Johnson,Twentieth Century Fox Film Corporation|DreamWorks Animation,Fantasy|Comedy|Animation|Science Fiction|Family,135.0,368.87,233.87,1.73,2.98,6.9,1060
Paper Towns,2015,Jake Schreier,Fox 2000 Pictures,Drama|Mystery|Romance,12.0,85.51,73.51,6.13,2.97,6.2,1252
Wild Card,2015,Simon West,Current Entertainment|Lionsgate|Sierra / Affinity|SJ Heat Productions|Silver State Production Services,Thriller|Crime|Drama,30.0,0.0,-30.0,-1.0,2.93,5.3,481
The Lobster,2015,Yorgos Lanthimos,Haut et Court|Eurimages|Lemming Film|Element Pictures|Nederlands Fonds voor de Film,Thriller|Comedy|Drama|Romance|Science Fiction,4.0,9.06,5.0600000000000005,1.27,2.89,6.6,638
Carol,2015,Todd Haynes,Killer Films|Film4|Number 9 Films,Romance|Drama,11.8,40.27,28.470000000000002,2.41,2.88,7.1,562
The Intern,2015,Nancy Meyers,Waverly Films|Warner Bros.,Comedy,35.0,194.56,159.56,4.56,2.81,7.1,1255
Everest,2015,Baltasar KormÃ¡kur,Universal Pictures|Working Title Films|Walden Media|Cross Creek Pictures|Free State Pictures,Adventure|Drama,55.0,203.43,148.43,2.7,2.8,6.7,1172
Joy,2015,David O. Russell,Fox 2000 Pictures|Davis Entertainment|Annapurna Pictures|TSG Entertainment,Comedy|Drama,60.0,101.13,41.129999999999995,0.69,2.79,6.4,1001
Point Break,2015,Ericson Core,Studio Babelsberg|Alcon Entertainment|DMG Entertainment|Ehman Productions,Action|Crime|Thriller,105.0,133.72,28.72,0.27,2.61,5.5,505
Burnt,2015,John Wells,Double Feature Films|PeaPie Films|3 Arts Entertainment,Drama,20.0,36.61,16.61,0.83,2.58,6.3,631
Self/less,2015,Tarsem Singh,Endgame Entertainment|Ram Bergman Productions,Science Fiction|Mystery|Thriller,26.0,30.52,4.52,0.17,2.58,6.2,719
Mortdecai,2015,David Koepp,Lionsgate|Mad Chance|OddLot Entertainment|Huayi Brothers Media,Comedy|Adventure,60.0,30.42,-29.58,-0.49,2.58,5.3,696
The Danish Girl,2015,Tom Hooper,Pretty Pictures|Working Title Films|ArtÃ©mis Productions|Le Tax Shelter du Gouvernement FÃ©dÃ©ral de Belgique|Taxshelter. be,Drama,15.0,64.19,49.19,3.28,2.56,7.3,867
Blackhat,2015,Michael Mann,Universal Pictures|Forward Pass|Legendary Pictures,Mystery|Crime|Action|Thriller|Drama,70.0,17.75,-52.25,-0.75,2.55,5.0,584
Sicario,2015,Denis Villeneuve,Lionsgate|Thunder Road Pictures|Black Label Media,Action|Crime|Drama|Mystery|Thriller,30.0,84.03,54.03,1.8,2.49,7.1,1479
Fantastic Four,2015,Josh Trank,Twentieth Century Fox Film Corporation|Marv Films|Marvel Entertainment|Constantin Film.|Moving Picture Company (MPC),Action|Adventure|Science Fiction,120.000001,167.98,47.97999899999999,0.4,2.49,4.4,1565
The Witch,2015,Robert Eggers,Parts and Labor|RT Features|Rooks Nest Entertainment|Maiden Voyage Pictures|Pulse Films,Mystery|Horror,3.5,40.42,36.92,10.55,2.46,5.8,700
Spy,2015,Paul Feig,Twentieth Century Fox Film Corporation|Chernin Entertainment|Feigco Entertainment,Action|Comedy|Crime,65.0,235.67,170.67,2.63,2.4,6.9,1840
Focus,2015,Glenn Ficarra|John Requa,Kramer & Sigman Films|RatPac-Dune Entertainment|Zaftig Films,Romance|Comedy|Crime|Drama,50.1,153.96,103.86000000000001,2.07,2.4,6.7,1831
Hitman: Agent 47,2015,Aleksander Bach,Twentieth Century Fox Film Corporation|Fox International Productions|Infinite Frameworks Studios|TSG Entertainment,Action|Crime|Thriller,35.0,82.35,47.349999999999994,1.35,2.35,5.5,820
In the Heart of the Sea,2015,Ron Howard,Imagine Entertainment|Spring Creek Productions|Warner Bros.|Roth Films|K. JAM Media,Thriller|Drama|Adventure|Action|History,100.0,93.82,-6.180000000000007,-0.06,2.35,6.4,805
Survivor,2015,James McTeigue,Nu Image Films|Winkler Films|Millennium Films|Survivor Productions,Crime|Thriller|Action,20.0,0.0,-20.0,-1.0,2.33,5.4,280
Creed,2015,Ryan Coogler,New Line Cinema|Warner Bros.|Metro-Goldwyn-Mayer (MGM)|Chartoff-Winkler Productions,Drama,35.0,137.94,102.94,2.94,2.33,7.3,1171
Trainwreck,2015,Judd Apatow,Universal Pictures|Fuji Television Network|Dentsu|Apatow Productions,Comedy,35.0,140.8,105.80000000000001,3.02,2.32,6.1,849
Eye in the Sky,2015,Gavin Hood,Entertainment One|Moonlighting Films|Raindog Films,Drama|Thriller|War,13.0,32.85,19.85,1.53,2.3,7.2,265
Legend,2015,Brian Helgeland,Working Title Films|Cross Creek Pictures|Anton Capital Entertainment (ACE),Crime|Thriller,25.0,42.97,17.97,0.72,2.28,6.7,619
Beyond the Reach,2015,Jean-Baptiste LÃ©onetti,Furthur Films,Thriller,0.0,0.05,0.05,,2.27,5.5,81
Pan,2015,Joe Wright,Warner Bros.|Moving Picture Company (MPC)|Berlanti Productions|RatPac-Dune Entertainment,Adventure|Family|Fantasy,150.0,128.39,-21.610000000000014,-0.14,2.23,5.9,586
Mythica: The Darkspore,2015,Anne K. Black,Arrowstorm Entertainment,Action|Adventure|Fantasy,0.0,0.0,0.0,,2.17,5.1,27
Me and Earl and the Dying Girl,2015,Alfonso Gomez-Rejon,Indian Paintbrush,Comedy|Drama,0.0,0.0,0.0,,2.14,7.7,569
The Peanuts Movie,2015,Steve Martino,Blue Sky Studios|Twentieth Century Fox Animation|Feigco Entertainment,Adventure|Animation|Comedy|Family,99.0,246.23,147.23,1.49,2.14,6.4,414
Concussion,2015,Peter Landesman,Village Roadshow Pictures|Scott Free Productions|LStar Capital|The Cantillon Company|The Shuman Company,Drama,35.0,48.62,13.619999999999997,0.39,2.12,6.9,500
The Night Before,2015,Jonathan Levine,Sony Pictures|Point Grey Pictures|Good Universe,Comedy,25.0,52.4,27.4,1.1,2.1,6.1,363
Knock Knock,2015,Eli Roth,Universum Film (UFA)|Dragonfly Entertainment|Black Bear Pictures|Square One Entertainment|Sobras International Pictures,Drama|Horror|Thriller,2.5,5.21,2.71,1.08,2.08,4.8,473
The Longest Ride,2015,"George Tillman, Jr.",Fox 2000 Pictures|Temple Hill Entertainment,Romance|Drama,34.0,63.01,29.009999999999998,0.85,2.07,7.3,711
Hotel Transylvania 2,2015,Genndy Tartakovsky,Columbia Pictures|Sony Pictures Animation,Animation|Comedy|Family,80.0,466.18,386.18,4.83,2.06,6.8,919
Love the Coopers,2015,Jessie Nelson,Imagine Entertainment|Groundswell Productions|CBS Films,Family|Comedy,17.0,24.0,7.0,0.41,2.06,5.3,111
The Walk,2015,Robert Zemeckis,TriStar Pictures|Sony Pictures Entertainment|ImageMovers,Adventure|Drama|Thriller,35.0,61.18,26.18,0.75,2.05,6.8,706
Tracers,2015,Daniel Benmayor,Temple Hill Entertainment|Senator Film|Freerunning|Melbarken|Saban Films,Action|Crime|Drama,11.0,1.86,-9.14,-0.83,2.03,5.9,326
Vacation,2015,John Francis Daley|Jonathan M. Goldstein,New Line Cinema|BenderSpink|David Dobkin Productions,Adventure|Comedy,31.0,104.38,73.38,2.37,2.0,6.1,846
Poltergeist,2015,Gil Kenan,Ghost House Pictures|Vertigo Entertainment|Metro-Goldwyn-Mayer (MGM)|TSG Entertainment,Horror|Thriller,35.0,95.44,60.44,1.73,1.98,5.0,589
Maggie,2015,Henry Hobson,Lionsgate|Grindstone Entertainment Group|Silver Reel|Sly Predator|Matt Baer Films,Horror,4.0,0.19,-3.81,-0.95,1.98,5.1,384
Equals,2015,Drake Doremus,Scott Free Productions|Infinite Frameworks Studios|Freedom Media|Route One Entertainment,Drama|Romance|Science Fiction,0.0,2.0,2.0,,1.96,5.6,135
Child 44,2015,Daniel Espinosa,Summit Entertainment|Scott Free Productions|Worldview Entertainment,Crime|Thriller,50.0,3.32,-46.68,-0.93,1.96,5.9,341
The Gift,2015,Joel Edgerton,Blumhouse Productions|Blue-Tongue Films|STX Entertainment|Ahimsa Films,Thriller|Mystery,5.0,58.98,53.98,10.8,1.93,6.6,631
Daddy's Home,2015,Sean Anders,Paramount Pictures|Gary Sanchez Productions|Good Universe|Red Granite Pictures,Comedy,50.0,240.36,190.36,3.81,1.9,5.7,568
Mythica: The Necromancer,2015,A. Todd Smith,Arrowstorm Entertainment|Camera 40 Productions|Bellpond Films,Fantasy|Action|Adventure,0.0,0.0,0.0,,1.88,5.4,11
Vice,2015,Brian A Miller,Grindstone Entertainment Group|K5 International|Emmett/Furla Films|Aperture Entertainment,Thriller|Science Fiction|Action|Adventure,10.0,0.0,-10.0,-1.0,1.87,4.1,181
The Little Prince,2015,Mark Osborne,Onyx Films|Orange Studios|CityMation|On Entertainment|Zippcast Films,Adventure|Animation|Fantasy,64.0,97.57,33.56999999999999,0.52,1.87,7.5,423
Alvin and the Chipmunks: The Road Chip,2015,Walt Becker,Regency Enterprises|Fox 2000 Pictures|Sunswept Entertainment|Bagdasarian Productions|TSG Entertainment,Adventure|Animation|Comedy|Family,0.0,233.76,233.76,,1.84,5.7,278
The Dressmaker,2015,Jocelyn Moorhouse,Amazon Studios|Film Art Media|Apollo Media,Drama,11.93,18.34,6.41,0.54,1.82,6.9,197
The DUFF,2015,Ari Sandel,Wonderland Sound and Vision|CBS Films|Vast Entertainment,Romance|Comedy,8.5,43.53,35.03,4.12,1.76,6.8,753
Sinister 2,2015,Ciaran Foy,Alliance Films|Blumhouse Productions|IM Global|Automatik Entertainment|Entertainment One,Horror,10.0,52.88,42.88,4.29,1.74,5.5,331
Paul Blart: Mall Cop 2,2015,Andy Fickman,Columbia Pictures|Happy Madison Productions|Sony Pictures Releasing|Sony Pictures Home Entertainment|Sony Pictures Entertainment (SPE),Action|Adventure|Comedy|Family,30.0,107.6,77.6,2.59,1.74,5.3,422
Frozen Fever,2015,Chris Buck|Jennifer Lee,Walt Disney Pictures|Walt Disney Animation Studios,Adventure|Animation|Family,0.0,0.0,0.0,,1.72,7.0,475
High-Rise,2015,Ben Wheatley,Ingenious Media|HanWay Films|Scope Pictures|Recorded Picture Company (RPC)|Northern Ireland Screen,Action|Drama|Science Fiction,0.0,0.0,0.0,,1.66,5.4,161
The Boy Next Door,2015,Rob Cohen,Universal Pictures|Nuyorican Productions|Blumhouse Productions|Smart Entertainment,Thriller,4.0,50.16,46.16,11.54,1.65,3.9,810
Spooks: The Greater Good,2015,Bharat Nalluri,BBC Films|Isle of Man Film|Shine Pictures|Kudos Film and Television|Pinewood Pictures,Thriller|Action,0.0,0.0,0.0,,1.65,5.6,114
Entourage,2015,Doug Ellin,Warner Bros.|Closest to the Hole Productions,Comedy,30.0,49.26,19.259999999999998,0.64,1.53,6.2,364
The Wedding Ringer,2015,Jeremy Garelick,Miramax Films|Screen Gems|LStar Capital,Comedy,23.0,79.8,56.8,2.47,1.51,6.5,446
Scouts Guide to the Zombie Apocalypse,2015,Christopher B. Landon,Paramount Pictures|Oops Doughnuts Productions|Broken Road Productions|Brucks Entertainment,Comedy|Horror,15.0,14.86,-0.14000000000000057,-0.01,1.5,6.2,288
The Visit,2015,M. Night Shyamalan,Blumhouse Productions|Blinding Edge Pictures,Horror|Thriller,5.0,98.45,93.45,18.69,1.5,5.9,729
Black Mass,2015,Scott Cooper,Infinitum Nihil|Head Gear Films|Cross Creek Pictures|Free State Pictures|RatPac-Dune Entertainment,Crime|Drama,53.0,99.78,46.78,0.88,1.48,6.3,848
Heist,2015,Scott Mann,Emmett/Furla Films|Silver Plane Films|Mass Hysteria Entertainment|Tri Vision Pictures,Crime|Action|Thriller,8.9,0.05,-8.85,-0.99,1.45,5.4,233
Krampus,2015,Michael Dougherty,Universal Pictures|Legendary Pictures,Horror|Comedy|Fantasy,15.0,61.55,46.55,3.1,1.45,5.9,342
Dark Places,2015,Gilles Paquet-Brenner,Denver and Delilah Productions|Mandalay Vision|Exclusive Media Group|Hugo Productions|Cuatro Plus Films,Drama|Mystery|Thriller,20.0,0.21,-19.79,-0.99,1.44,5.7,322
No Escape,2015,John Erick Dowdle,Bold Films|Living Films|Brothers Dowdle Productions,Action|Thriller,5.0,54.42,49.42,9.88,1.41,6.7,519
Dope,2015,Rick Famuyiwa,Forest Whitaker's Significant Productions|Revolt Films|IamOTHER Entertainment,Crime|Drama|Comedy,0.7,17.99,17.29,24.7,1.41,7.3,448
American Ultra,2015,Nima Nourizadeh,Concorde Filmverleih|Likely Story|FilmNation Entertainment|Circle of Confusion|The Bridge Finance Company,Comedy|Action,28.0,28.21,0.21000000000000085,0.01,1.39,5.9,695
Woman in Gold,2015,Simon Curtis,BBC Films|Origin Pictures,Drama,11.0,61.62,50.62,4.6,1.39,7.3,277
The Scorpion King: The Lost Throne,2015,Mike Elliott,Universal Pictures,Action|Fantasy|Adventure,0.0,0.0,0.0,,1.38,4.5,22
Sisters,2015,Jason Moore,Little Stranger,Comedy,30.0,105.01,75.01,2.5,1.38,5.9,399
Project Almanac,2015,Dean Israelite,Paramount Pictures|MTV Films|Platinum Dunes|Insurge Pictures,Science Fiction|Thriller,12.0,32.25,20.25,1.69,1.36,6.3,637
Absolutely Anything,2015,Terry Jones,Premiere Picture|Bill and Ben Productions|GFM films,Comedy|Science Fiction,0.0,5.19,5.19,,1.36,5.8,199
The Transporter Refueled,2015,Camille Delamarre,EuropaCorp,Thriller|Action|Crime,25.0,72.63,47.629999999999995,1.91,1.36,5.3,407
Crimson Peak,2015,Guillermo del Toro,Legendary Pictures,Mystery|Thriller|Fantasy|Horror|Drama,55.0,74.68,19.680000000000007,0.36,1.35,6.4,819
Everly,2015,Joe Lynch,"Crime Scene Pictures|Radius-TWC|Anonymous Content|Vega, Baby!",Thriller|Action,0.0,0.0,0.0,,1.34,5.1,169
Magic Mike XXL,2015,Gregory Jacobs,Warner Bros.|Iron Horse Entertainment (II),Comedy|Drama|Music,14.8,122.41,107.61,7.27,1.34,6.3,501
Paranormal Activity: The Ghost Dimension,2015,Gregory Plotkin,Paramount Pictures|Blumhouse Productions,Horror|Thriller,10.0,78.1,68.1,6.81,1.34,5.0,267
Slow West,2015,John Maclean,The New Zealand Film Commission|Film4|See Saw Films|DMC Films,Romance|Thriller|Western,0.0,0.23,0.23,,1.33,6.6,229
Trumbo,2015,Jay Roach,Groundswell Productions|Inimitable Pictures|ShivHans Pictures,Drama,15.0,8.24,-6.76,-0.45,1.32,7.2,273
Secret in Their Eyes,2015,Billy Ray,Ingenious Media|Gran Via Productions|IM Global|Route One Films,Crime|Drama|Mystery,19.5,32.19,12.689999999999998,0.65,1.32,6.2,202
Mistress America,2015,Noah Baumbach,RT Features,Comedy,0.0,2.5,2.5,,1.29,6.4,132
The SpongeBob Movie: Sponge Out of Water,2015,Paul Tibbitt,Paramount Pictures|Nickelodeon Movies|Nickelodeon Animation Studios|United Plankton Pictures|Disruption Entertainment,Family|Animation,74.0,311.59,237.58999999999997,3.21,1.29,5.7,533
True Story,2015,Rupert Goold,Plan B Entertainment|Regency Enterprises|New Regency Pictures,Crime|Drama|Mystery,0.0,4.72,4.72,,1.28,6.0,354
Max,2015,Boaz Yakin,Sunswept Entertainment|Warner Bros.|Metro-Goldwyn-Mayer (MGM),Adventure|Drama|Family,20.0,43.97,23.97,1.2,1.28,7.0,214
Shaun the Sheep Movie,2015,Mark Burton|Richard Starzack,Aardman Animations|Studio Canal|Anton Capital Entertainment (ACE),Family|Animation|Comedy|Adventure,0.0,59.7,59.7,,1.25,6.9,340
Louder Than Bombs,2015,Joachim Trier,Motlys|Arte France CinÃ©ma|Animal Kingdom,Drama,11.0,0.0,-11.0,-1.0,1.25,6.3,43
A Perfect Day,2015,Fernando LeÃ³n de Aranoa,Reposado Producciones|TelevisiÃ³n EspaÃ±ola (TVE)|Mediapro,Comedy|Drama,0.0,1.7,1.7,,1.25,6.3,102
The Gunman,2015,Pierre Morel,StudioCanal|Silver Pictures|TF1 Films Production|Canal+|Instituto de la CinematografÃ­a y de las Artes Audiovisuales (ICAA),Action|Drama|Crime,40.0,10.66,-29.34,-0.73,1.23,5.6,283
Unfriended,2015,Levan Gabriadze,Bazelevs Production|Blumhouse Productions,Horror|Thriller,1.0,62.88,61.88,61.88,1.19,5.6,643
Hot Pursuit,2015,Anne Fletcher,New Line Cinema|Warner Bros.|Metro-Goldwyn-Mayer (MGM)|Pacific Standard,Action|Crime|Comedy,35.0,51.68,16.68,0.48,1.18,5.5,472
Insidious: Chapter 3,2015,Leigh Whannell,Sony Pictures,Drama|Horror|Thriller,10.0,104.3,94.3,9.43,1.16,6.3,610
Z for Zachariah,2015,Craig Zobel,Palomar Pictures|Lucky Hat Entertainment|Silver Reel|Material Pictures|Zik Zak Kvikmyndir,Drama|Science Fiction|Thriller,0.0,0.12,0.12,,1.16,5.5,181
Dragonheart 3: The Sorcerer's Curse,2015,Colin Teague,Raffaella Productions,Action|Adventure|Fantasy,0.0,0.0,0.0,,1.14,4.5,59
The Lady in the Van,2015,Nicholas Hytner,BBC Films|TriStar Productions,Comedy|Drama,6.0,41.39,35.39,5.9,1.14,5.9,135
Victor Frankenstein,2015,Paul McGuigan,Twentieth Century Fox Film Corporation|Davis Entertainment|Moving Picture Company (MPC)|TSG Entertainment,Drama|Science Fiction|Thriller,40.0,34.23,-5.770000000000003,-0.14,1.14,5.5,408
Brothers of the Wind,2015,Gerado Olivares|Otmar Penker,Terra Mater Factual Studios,Adventure|Drama|Family,0.0,0.0,0.0,,1.13,7.5,11
Anomalisa,2015,Duke Johnson|Charlie Kaufman,Starburns Industries,Animation|Comedy|Drama|Romance,8.0,3.76,-4.24,-0.53,1.13,6.7,259
Bone Tomahawk,2015,S. Craig Zahler,Caliber Media Company|The Fyzz Facility|Realbuilder Productions,Horror|Western|Adventure|Drama,1.8,0.0,-1.8,-1.0,1.07,6.3,220
Regression,2015,Alejandro AmenÃ¡bar,The Weinstein Company|HimenÃ³ptero|First Generation Films|Mod Producciones|FilmNation Entertainment,Horror|Mystery|Thriller,0.0,17.67,17.67,,1.07,5.2,310
Pawn Sacrifice,2015,Edward Zwick,Material Pictures|MICA Entertainment|PalmStar Media|Gail Katz Productions,Drama,0.0,0.0,0.0,,1.06,6.6,148
The Man Who Knew Infinity,2015,Matt Brown,Animus Films|Edward R. Pressman Film|Kreo Films FZ|Xeitgeist Entertainment Group|American Entertainment Investors,Drama,0.0,11.47,11.47,,1.05,7.1,104
Momentum,2015,Stephen S. Campanelli,Thaba Media|Azari Media,Thriller|Action,20.0,0.0,-20.0,-1.0,1.04,5.8,100
The Diary of a Teenage Girl,2015,Marielle Heller,Caviar Films|Cold Iron Pictures|Archer Gray,Drama|Romance,2.0,1.48,-0.52,-0.26,1.04,6.8,186
Pay the Ghost,2015,Uli Edel,Voltage Films|Midnight Kitchen Productions,Horror|Thriller,0.0,0.0,0.0,,1.04,5.3,114
